guid,Section,Category,Mechanism,title,FOA Number,Content,Application Receipt Date,Application Receipt Date - Other,Expiration Date,Highlighted,Default,published
20,Selected NCI-Led Opportunities,Cooperative Agreements; Research Projects,U01,Early-Stage Development of Informatics Technology (U01),PAR-12-288,,"November 18, 2014; June 18, 2015",,19-Jun-15,0,0,1
21,Selected NCI-Led Opportunities,Cooperative Agreements; Cooperative Agreements,U01,Revisions for Early-Stage Development of Informatics Technology (U01),PAR-12-289,,"November 18, 2014; June 18, 2015",,19-Jun-15,0,0,1
22,Selected NCI-Led Opportunities,Cooperative Agreements; Research Projects,U24,Advanced Development of Informatics Technology (U24),PAR-13-294,,"November 18, 2014; June 18, 2015",,19-Jun-15,0,0,1
23,Selected NCI-Led Opportunities,Research Projects,R21,NCI Exploratory/Developmental Research Grant Program (NCI Omnibus R21),PAR-13-146,,,"Multiple dates, see announcement",5-Sep-15,1,0,1
24,Selected NIH Opportunities ,SBIR/STTR; Research Projects,R43/44,Development and Translation of Medical Technologies to Reduce Health Disparities (SBIR) (R43/R44) ,RFA-EB-15-001,,"January 28, 2015; May 28, 2015 ",,8-Sep-15,0,0,1
25,Selected NCI-Led Opportunities,Non-Grant Research Support,Other,NCI PREVENT Cancer Preclinical Drug Development Program,,http://prevention.cancer.gov/programs-resources/programs/prevent?utm_source=WhatCounts+Publicaster+Edition&utm_medium=email&utm_campaign=Move+Your+Technology+to+Clinical+Testing+with+Help+from+NIH+Resources+&utm_content=PREVENT,2-Mar-15,,8-Sep-15,0,0,1
26,Selected NCI Opportunities,Research Projects,R01,Improving Diet and Physical Activity Assessment (R01),PAR-12-198,,,"Multiple dates, see announcement",8-Sep-15,0,0,1
27,Selected NCI Opportunities,Research Projects,R21,Improving Diet and Physical Activity Assessment (R21),PAR-12-197,,,"Multiple dates, see announcement",8-Sep-15,0,0,1
28,CSSI Specific Opportunities,Research Projects,R21,Innovative Molecular Analysis Technologies for Cancer Research (R21) ,RFA-CA-15-002,,"March 17, 2015; June 17, 2015; September 22, 2015",,23-Sep-15,0,1,1
29,CSSI Specific Opportunities,Research Projects,R33,Advanced Development and Validation of Emerging Molecular Analysis Technologies for Cancer Research (R33) ,RFA-CA-15-003,,"March 17, 2015; June 17, 2015; September 22, 2015",,23-Sep-15,0,1,1
30,CSSI Specific Opportunities,Research Projects,R21,Innovative Technologies for Cancer-Relevant Biospecimen Science (R21) ,RFA-CA-15-004,,"March 17, 2015; June 17, 2015; September 22, 2015",,23-Sep-15,0,1,1
31,CSSI Specific Opportunities,Research Projects,R33,Advanced Development and Validation of Emerging Technologies for Cancer-Relevant Biospecimen Science (R33) ,RFA-CA-15-005,,"March 17, 2015; June 17, 2015; September 22, 2015",,23-Sep-15,0,1,1
32,Selected NIH Opportunities ,Research Projects,DP1,2014 NIH Pioneer Award Program (DP1),RFA-RM-13-006,,"October 10, 2014; October 9, 2015",,10-Oct-15,0,0,1
33,Selected NIH Opportunities ,Research Projects,DP2,2014 NIH Director's New Innovator Award Program (DP2),RFA-RM-13-007,,"October, 17, 2014; October 16, 2015",,17-Oct-15,0,0,1
34,Selected NCI-Led Opportunities,Cooperative Agreements; Research Projects,U01,Bridging the Gap Between Cancer Mechanism and Population Science (U01),PAR-13-081,,"November 4, 2014; June 17, 2015; November 4, 2015",,5-Nov-15,0,0,1
35,Selected NCI-Led Opportunities,Cooperative Agreements; Research Program Projects & Centers,U54,Physical Sciences-Oncology Centers (U54),PAR-14-169,,"February 26, 2015; November 25, 2015",,26-Nov-15,0,0,1
36,Selected NCI-Led Opportunities,Research Program Projects & Centers,P01,Revision Applications to P01 Awards for Research on Imaging and Biomarkers for Early Cancer Detection (P01),PAR-13-317,,"July 10, 2014; December 11, 2014; July 10, 2015; December 11, 2015",,12-Dec-15,0,0,1
37,Selected NCI-Led Opportunities,Research Program Projects & Centers,P50,Revision Applications to P50 Awards for Research on Imaging and Biomarkers for Early Cancer Detection (P50),PAR-13-318,,"July 10, 2014; December 11, 2014; July 10, 2015; December 11, 2015",,12-Dec-15,0,0,1
38,Selected NCI Opportunities,Research Projects,R01,Bioengineering Research Partnerships (BRP) R01,PAR-14-092,,"September 18, 2014; May 20, 2015; September 18, 2015; September 7, 2014; January 7, 2015; September 7, 2015; January 7, 2016",,8-Jan-16,0,0,1
39,Selected NCI-Led Opportunities,Research Program Projects & Centers,P30,Cancer Center Support Grants (CCSGs) for NCI-designated Cancer Centers (P30),PAR-12-298,,,Standard dates apply.,8-Jan-16,0,0,1
40,Selected NCI Opportunities,Research Projects,R21,Exploratory/Developmental Bioengineering Research Grants (EBRG) [R21],PA-12-284,,,Standard dates apply.,30-Nov-15,0,0,1
41,Selected NCI Opportunities,SBIR/STTR; Research Projects,R43/44,Development of Highly Innovative Tools and Technology for Analysis of Single Cells (SBIR) (R43/R44),PA-13-140,,,Standard dates apply.,8-Jan-16,0,0,1
42,Selected NIH Opportunities ,Research Program Projects & Centers,P20,Centers of Biomedical Research Excellence (COBRE) (P20),PAR-14-035,,28-Jan-16,,29-Jan-16,0,0,1
43,Selected NCI Opportunities,Research Projects,R03,Indo-US Collaborative Program on Affordable Medical Devices (R03),PAR-13-390,,"January 22, 2016; May 7, 2016; May 8, 2016",,8-May-16,0,0,1
44,Selected NCI Opportunities,Research Projects,R01,Bioengineering Research Grants (BRG) (R01),PAR-13-137,,,"Multiple dates, see announcement",8-May-16,0,0,1
45,Selected NIH Opportunities ,Research Projects; Research Program Projects & Centers,RM1,Centers of Excellence in Genomic Science (CEGS) (RM1),PAR-14-195,,"July 2, 2014; May 20, 2015; May 20, 2016",,21-May-16,0,0,1
46,Selected NCI-Led Opportunities,SBIR/STTR; Research Projects,R43/44,Innovative Molecular Analysis Technology Development for Cancer Research and Clinical Care (SBIR [R43/44]),PAR-13-327,,"November 4, 2014; May 27, 2015; November 4, 2015; May 27, 2016",,28-May-16,0,0,1
47,Selected NCI Opportunities,Training/Education/Conference Support,T32,Predoctoral Training in Biomedical Big Datay Science (T32),RFA-HG-14-004,,"March 1, 2015; July 27, 2015",,28-Jul-15,0,0,1
48,Selected NCI Opportunities,Training/Education/Conference Support,T32,Revisions to Add Biomedical Big Data Training to Active Institutional Training Grants (T32),RFA-HG-14-005,,"March 1, 2015; July 27, 2015; July 28, 2016",,29-Jul-16,0,0,1
49,Selected NCI Opportunities,Training/Education/Conference Support; Parent Announcements,R15,Academic Research Enhancement Award (Parent R15),PA-16-200,,,Standard dates apply.,8-May-19,0,0,1
50,Selected NIH Opportunities ,SBIR/STTR; Research Projects,R41/42,Platform Delivery Technologies for Nucleic Acid Therapeutics (R43/R44),PA-14-307,,,Standard dates apply.,8-Sep-16,0,0,1
51,Selected NIH Opportunities ,SBIR/STTR; Research Projects,R43/44,Platform Delivery Technologies for Nucleic Acid Therapeutics (R41/R42),PA-14-308,,,Standard dates apply.,8-Sep-16,0,0,1
52,Selected NIH Opportunities ,Research Program Projects & Centers,P41,Biomedical Technology Research Resource (P41),PAR-14-021,,,Standard dates apply.,8-Sep-16,0,0,1
53,CSSI Specific Opportunities,Research Projects,R01,Research Answers to NCI's Provocative Questions (R01) ,RFA-CA-15-008,,"June 29, 2015; October 29, 2015; June 29, 2016; October 28, 2016",,29-Oct-16,0,1,1
54,CSSI Specific Opportunities,Research Projects,R21,Research Answers to NCI's Provocative Questions (R21),RFA-CA-15-009,,"June 29, 2015; October 29, 2015; June 29, 2016; October 28, 2016",,29-Oct-16,0,1,1
55,Selected NCI-Led Opportunities,Research Projects,R03,NCI Small Grants Program for Cancer Research (NCI Omnibus R03),PAR-14-007,,,"Multiple dates, see announcement",29-Aug-16,1,0,1
56,Selected NIH Opportunities ,SBIR/STTR; Research Projects,R44,BRAIN Initiative: Optimization of Novel Tools and Technologies for Neuroscience Research (R44),PAR-15-121,,,"Multiple dates, see announcement",6-Jan-17,0,0,1
57,Selected NCI-Led Opportunities,Research Projects,R01,Academic-Industrial Partnerships for Translation of Technologies for Cancer Diagnosis and Treatment (R01),PAR-15-075,,,"The first due date for all types of applications allowed for this FOA is March 6, 2015. Thereafter Standard dates apply.",8-Jan-17,0,0,1
58,Selected NCI Opportunities,Training/Education/Conference Support; Parent Announcements,K99/R00,NIH Pathway to Independence Award (Parent K99/R00),PA-16-193,,,Standard dates apply.,8-May-19,0,0,1
59,Selected NIH Opportunities ,Training/Education/Conference Support; Parent Announcements,K25,Mentored Quantitative Research Development Award (Parent K25),PA-16-194,,,Standard dates apply.,8-May-19,0,0,1
60,Selected NIH Opportunities ,Research Program Projects & Centers,P41,NIBIB Biomedical Technology Resource Centers (P41),PAR-13-376,,,Standard dates apply.,8-Jan-17,0,0,1
61,Selected NCI Opportunities,SBIR/STTR; Research Projects,R44,Direct Phase II SBIR Grants to Support Biomedical Technology Development,PAR-14-088,,,Standard dates apply.,8-Jan-17,0,0,1
62,CSSI Specific Opportunities,Training/Education/Conference Support,T32,Cancer Nanotechnology Research Training Programs (T32),NOT-CA-14-035; PA-14-015,,,Standard dates apply.,8-Jan-17,0,1,1
63,Selected NCI-Led Opportunities,Research Program Projects & Centers,P01,National Cancer Institute Program Project Applications (P01),PAR-15-023,,,Standard dates apply.,8-Jan-17,1,0,1
64,Selected NCI-Led Opportunities,Research Projects,R01,Early Phase Clinical Trials in Imaging and Image-Guided Interventions (R01),PAR-14-166,,"June 30, 2014; October 10, 2014; February 9, 2015, June 9, 2015; October 9, 2015; February 9, 2016; June 9, 2016; October 11, 2016; February 9, 2017",,10-Feb-17,0,0,1
65,CSSI Specific Opportunities,Cooperative Agreements; Research Projects,U01,Innovative Research in Cancer Nanotechnology (IRCN) (U01),PAR-14-285,,,"Multiple dates, see announcement",15-Apr-17,0,1,1
66,Selected NIH Opportunities ,Cooperative Agreements; Research Projects,U01,NIBIB Quantum Program: Technological Innovation to Solve a Major Medical or Public Health Challenge (U01),PAR-15-031,,,"Multiple dates, see announcement",8-May-17,0,0,1
67,Selected NCI Opportunities,Research Projects,R01,"Early Stage Development of Technologies in Biomedical Computing, Informatics, and Big Data Science (R01)",PA-14-155,,,Standard dates apply.,8-May-17,0,0,1
68,Selected NCI Opportunities,Research Projects,R01,"Extended Development, Hardening and Dissemination of Technologies in Biomedical Computing, Informatics and Big Data Science (R01) ",PA-14-156,,,Standard dates apply.,8-May-17,0,0,1
69,Selected NCI Opportunities,SBIR/STTR; Research Projects,R41/42,"Early Stage Development of Technologies in Biomedical Computing, Informatics, and Big Data Science (R41/R42) ",PA-14-157,,,Standard dates apply.,8-May-17,0,0,1
70,Selected NIH Opportunities ,SBIR/STTR; Research Projects,R43/44,"Early Stage Development of Technologies in Biomedical Computing, Informatics, and Big Data Science (R43/R44)",PA-14-154,,,Standard dates apply.,8-May-17,0,0,1
71,Selected NCI-Led Opportunities,Cooperative Agreements; Research Projects,U01,Quantitative Imaging for Evaluation of Response to Cancer Therapies (U01),PAR-14-116,,,Standard dates apply.,6-Feb-17,0,0,1
72,Selected NCI-Led Opportunities,Cooperative Agreements; Research Projects,U01,Physical Sciences-Oncology Network (PS-ON): Physical Sciences-Oncology Projects (PS-OP) (U01),PAR-15-021,,"February 26, 2015; November 25, 2015; May 26, 2016; September 21, 2016; May 26, 2017; September 21, 2017",,22-Sep-17,0,0,1
73,Selected NCI Opportunities,Training/Education/Conference Support,K22,The NCI Transition Career Development Award (K22),PAR-16-293,,,"The June 12, 2016 application due date has been moved to June 30, 2016; after that, Standard dates apply. ",8-Jan-18,0,0,1
74,Selected NCI-Led Opportunities,Research Projects,R21,Exploratory/Developmental Grants Program for Basic Cancer Research in Cancer Health Disparities (R21),PAR-15-092,,"June 17, 2015; November 17, 2015; June 17, 2016; November 17, 2016; June 19, 2017; November 17, 2017",,18-Nov-17,0,0,1
75,Selected NCI-Led Opportunities,Research Projects,R01,Basic Cancer Research in Cancer Health Disparities (R01),PAR-15-093,,"June 17, 2015; November 17, 2015; June 17, 2016; November 17, 2016; June 19, 2017; November 17, 2017",,18-Nov-17,0,0,1
76,Selected NCI-Led Opportunities,Training/Education/Conference Support,K07,"Cancer Prevention, Control, Behavioral Sciences, and Population Sciences Career Development Award (K07)",PAR-15-033,,,"Multiple dates, see announcement",8-Jan-18,0,0,1
77,Selected NCI Opportunities,Cooperative Agreements; Research Projects,U01,"Predictive Multiscale Models for Biomedical, Biological, Behavioral, Environmental and Clinical Research (U01)",PAR-15-085,,,Standard dates apply.,8-Jan-18,0,0,1
78,Selected NIH Opportunities ,SBIR/STTR; Research Projects,R43/R44,Lab to Marketplace: Tools for Biomedical and Behavioral Research (R43/R44) ,PA-15-052,,,"Multiple dates, see announcement",8-Jan-18,0,0,1
79,Selected NCI-Led Opportunities,Training/Education/Conference Support,K08,NCI Mentored Clinical Scientist Research Career Development Award to Promote Diversity (K08),PAR-15-060,,,"Multiple dates, see announcement",8-Aug-16,0,0,1
80,Selected NCI-Led Opportunities,Training/Education/Conference Support,K23,NCI Mentored Patient-Oriented Research Career Development Award to Promote Diversity (K23) ,PAR-15-062,,,"Multiple dates, see announcement",8-Aug-16,0,0,1
81,Selected NCI-Led Opportunities,Training/Education/Conference Support,K22,NCI Transition Career Development Award to Promote Diversity (K22) ,PAR-15-063,,,"Multiple dates, see announcement",8-Aug-16,0,0,1
82,Selected NCI-Led Opportunities,Training/Education/Conference Support,K01,NCI Mentored Research Scientist Development Award to Promote Diversity (K01),PAR-15-064,,,"Multiple dates, see announcement",8-Aug-16,0,0,1
83,Selected NCI-Led Opportunities,Training/Education/Conference Support,R25,Cancer Research Education Grants Program - Curriculum or Methods Development (R25),PAR-15-150,,,"Multiple dates, see announcement",8-Jan-18,0,0,1
84,Selected NCI-Led Opportunities,Training/Education/Conference Support,R25,Cancer Research Education Grants Program - Courses for Skills Development (R25),PAR-15-151,,,"Multiple dates, see announcement",8-Jan-18,0,0,1
85,Selected NCI-Led Opportunities,Training/Education/Conference Support,R25,Cancer Research Education Grants Program - Research Experiences (R25),PAR-15-152,,,"Multiple dates, see announcement",8-Jan-18,0,0,1
86,Selected NIH Opportunities ,Research Projects,R01,Technology Development for High-Throughput Structural Biology Research (R01),PAR-13-032,,,Standard dates apply.,15-Mar-14,0,0,1
87,Selected NIH Opportunities ,Research Projects,R01,Technology Development for Protein Modeling (R01),PAR-13-033,,,Standard dates apply.,8-Jan-16,0,0,1
88,Selected NCI-Led Opportunities,Research Projects,R21,Early Phase Clinical Trials in Imaging and Image-Guided Interventions (R21),PAR-14-013,,"June 30, 2014; October 10, 2014; February 9, 2015, June 9, 2015; October 9, 2015; February 9, 2015; June 9, 2016; October 11, 2016; February 9, 2017",,10-Feb-17,0,0,1
89,Selected NIH Opportunities ,Cooperative Agreements; Research Projects,U01,BRAIN Initiative: Transformative Approaches for Cell-Type Classification in the Brain (U01),RFA-MH-14-215,,13-Mar-14,,14-Mar-14,0,0,1
90,Selected NIH Opportunities ,Cooperative Agreements; Research Projects,U01,BRAIN Initiative: Development and Validation of Novel Tools to Analyze Cell-Specific and Circuit Specific Processes in the Brain (U01),RFA-MH-14-216,,13-Mar-14,,14-Mar-14,0,0,1
91,Selected NCI Opportunities,Cooperative Agreements; Research Program Projects & Centers,U54,BD2K-LINCS-Perturbation Data Coordination and Integration Center (DCIC) (U54),RFA-HG-14-001,,19-Mar-14,,20-Mar-14,0,0,1
92,Selected NIH Opportunities ,Research Projects; Research Program Projects & Centers,S10,Shared Instrumentation Grant Program (S10),PAR-14-073,,21-Mar-14,,22-Mar-14,0,0,1
93,Selected NIH Opportunities ,Cooperative Agreements; Research Projects,U01,BRAIN Initiative: New Technologies and Novel Approaches for Large-Scale Recording and Modulation in the Nervous System (U01),RFA-NS-14-007,,24-Mar-14,,25-Mar-14,0,0,1
94,Selected NIH Opportunities ,Cooperative Agreements; Research Projects,U01,BRAIN Initiative: Optimization of Transformative Technologies for Large Scale Recording and Modulation in the Nervous System (U01),RFA-NS-14-008,,24-Mar-14,,25-Mar-14,0,0,1
95,Selected NIH Opportunities ,Cooperative Agreements; Research Projects,U01,BRAIN Initiative: Integrated Approaches to Understanding Circuit Function in the Nervous System (U01),RFA-NS-14-009,,24-Mar-14,,25-Mar-14,0,0,1
96,Selected NCI-Led Opportunities,Research Projects,R01,Using Social Media to Understand and Address Substance Use and Addiction (R01),RFA-CA-14-008,,25-Mar-14,,26-Mar-14,0,0,1
97,Selected NCI-Led Opportunities,Research Projects,R21,Using Social Media to Understand and Address Substance Use and Addiction (R21),RFA-CA-14-009,,25-Mar-14,,26-Mar-14,0,0,1
98,Selected NIH Opportunities ,Research Projects; Cooperative Agreements,R24,BRAIN Initiative: Planning for Next Generation Human Brain Imaging (R24),RFA-MH-14-217,,27-Mar-14,,28-Mar-14,0,0,1
99,Selected NIH Opportunities ,Cooperative Agreements; Research Projects,U01,Revisions to Add Single Cell Analysis to Active Research Projects (U01),RFA-RM-13-023,,4-Apr-14,,5-Apr-14,0,0,1
100,Selected NIH Opportunities ,Research Projects,R33,Validation and Advanced Development of Technologies for the Study of Biological Properties of Single Cells (R33),RFA-RM-13-020,,4-Apr-14,,5-Apr-14,0,0,1
101,Selected NIH Opportunities ,Research Projects,R01,Revisions to Add Single Cell Analysis to Active Research Projects (R01),RFA-RM-13-022,,4-Apr-14,,5-Apr-14,0,0,1
102,Selected NIH Opportunities ,Research Projects,R21,Exceptionally Innovative Tools and Technologies for Single Cell Analysis (R21),RFA-RM-13-021,,4-Apr-14,,5-Apr-14,0,0,1
103,Selected NCI-Led Opportunities,SBIR/STTR; Research Projects,R44,"SBIR Phase IIB Bridge Awards to Accelerate the Development of Cancer Therapeutics, Imaging Technologies, Interventional Devices, Diagnostics, and Prognostics toward Commercialization",RFA-CA-14-002,,21-Apr-14,,22-Apr-14,0,0,1
104,Selected NCI Opportunities,Research Projects,R01,Nanoscience and Nanotechnology in Biology and Medicine (R01),PA-11-148,,,Standard dates apply.,8-May-14,0,0,1
105,Selected NCI Opportunities,Research Projects,R21,Nanoscience and Nanotechnology in Biology and Medicine (R21),PA-11-149,,,Standard dates apply.,8-May-14,0,0,1
106,Selected NCI Opportunities,Cooperative Agreements; Research Projects,U01,Development of Software and Analysis Methods for Biomedical Big Data in Targeted Areas of High Need (U01),RFA-HG-14-020,,19-Jun-14,,20-Jun-14,0,0,1
107,CSSI Specific Opportunities,Research Projects,R01,Research Answers to NCI?s Provocative Questions ? Groups A-E (R01),RFA-CA-13-016; RFA-CA-13-018; RFA-CA-13-020; RFA-CA-13-022; RFA-CA-13-024,,20-Jun-14,,21-Jun-14,0,0,1
108,CSSI Specific Opportunities,Research Projects,R21,Research Answers to NCI?s Provocative Questions ? Groups A-E (R21),RFA-CA-13-017; RFA-CA-13-019; RFA-CA-13-021; RFA-CA-13-023; RFA-CA-13-025,,20-Jun-14,,21-Jun-14,0,0,1
109,Selected NCI Opportunities,Cooperative Agreements; Research Projects,U01,NIH Research Evaluation and Commercialization Hub (REACH) Awards (U01),RFA-OD-14-005,,26-Jun-14,,27-Jun-14,0,0,1
110,Non-NIH Opportunities ,Research Projects,R18,Accelerating the Dissemination and Implementation of PCOR Findings into Primary Care Practice (R18),RFA-HS-14-008,,3-Jul-14,,4-Jul-14,0,0,1
111,Non-NIH Opportunities ,Research Projects,R01,Evaluation of AHRQ Initiative to Accelerate the Dissemination and Implementation of PCOR Findings into Primary Care (R01),RFA-HS-14-009,,3-Jul-14,,4-Jul-14,0,0,1
112,CSSI Specific Opportunities,Non-Grant Research Support,Other,NCI Requests Cancer Targets for Monoclonal Antibody Production and Characterization (Antibody Characterization Program),,http://antibodies.cancer.gov/apps/site/default,11-Jul-14,,12-Jul-14,0,0,1
113,Selected NCI Opportunities,SBIR/STTR; Research Projects,R41/R43,Innovation Corps (I-Corps) Team Training Pilot Program for NIH Phase I Small Business Innovation Research (SBIR) and Small Business Technology Transfer (STTR) Grantees (Admin Supp),PAR-14-261),,7-Aug-14,,8-Aug-14,0,0,1
114,Non-NIH Opportunities ,Research Projects; Cooperative Agreements,Other,Advances in Biological Informatics (ABI),,http://www.nsf.gov/funding/pgm_summ.jsp?pims_id=5444&org=DEB&from=home,8-Oct-14,,9-Oct-14,0,0,1
115,Selected NCI-Led Opportunities,Cooperative Agreements; Research Projects,U24,Limited Competition: Biospecimen Banks to Support NCI-Clinical Trials Network (NCTN) (U24),RFA-CA-14-501,,15-Aug-14,,16-Aug-14,0,0,1
116,Selected NIH Opportunities ,SBIR/STTR; Research Projects,R43/R44,Novel Technologies for Rapid and Sensitive Biomonitoring in Humans (R43/R44),RFA-ES-14-005,,15-Aug-14,,16-Aug-14,0,0,1
117,Selected NIH Opportunities ,Cooperative Agreements; Research Projects,U01,Targeting Co-dependent Molecular Pathways in Oral Cancer (U01),RFA-DE-15-004,,25-Aug-14,,26-Aug-14,0,0,1
118,Selected NCI-Led Opportunities,Cooperative Agreements; Research Projects,U01,Molecular and Cellular Characterization of Screen-Detected Lesions (U01),RFA-CA-14-010,,17-Sep-14,,18-Sep-14,0,0,1
119,Selected NCI-Led Opportunities,Cooperative Agreements; Research Projects,U01,Molecular and Cellular Characterization of Screen-Detected Lesions - Coordinating Center and Data Management Group (U01),RFA-CA-14-011,,17-Sep-14,,18-Sep-14,0,0,1
120,Selected NIH Opportunities ,Research Program Projects & Centers,P30,NIBIB Biomedical Technology Service Centers (P30),PAR-14-145,,7-Sep-14,,8-Sep-14,0,0,1
121,Selected NIH Opportunities ,Research Projects,R01,Single Cell Studies in Aging Research (R01),PA-11-320,,, Standard dates apply.,8-Sep-14,0,0,1
122,Selected NIH Opportunities ,Research Projects,R21,Single Cell Studies in Aging Research (R21),PA-11-321,,,Standard dates apply.,8-Sep-14,0,0,1
123,CSSI Specific Opportunities,Research Projects,R21,Early-Stage Innovative Molecular Analysis Technology Development for Cancer Research (R21),RFA-CA-14-003,,18-Sep-14,,19-Sep-14,0,0,1
124,CSSI Specific Opportunities,Research Projects,R33,Validation and Advanced Development of Emerging Molecular Analysis Technologies for Cancer Research (R33),RFA-CA-14-004,,18-Sep-14,,19-Sep-14,0,0,1
125,CSSI Specific Opportunities,Research Projects,R21,Early-Stage Development of Innovative Technologies for Biospecimen Science (R21),RFA-CA-14-005,,18-Sep-14,,19-Sep-14,0,0,1
126,CSSI Specific Opportunities,Research Projects,R33,Validation and Advanced Development of Emerging Technologies for Biospecimen Science (R33),RFA-CA-14-006,,18-Sep-14,,19-Sep-14,0,0,1
127,Selected NCI-Led Opportunities,Research Program Projects & Centers,P50,Specialized Programs of Research Excellence (SPOREs) in Human Cancer for Years 2013 and 2014 (P50),PAR-14-031,,23-Sep-14,,24-Sep-14,0,0,1
128,Selected NIH Opportunities ,Research Projects,R24,Pharmacogenomics Knowledge Base (R24),RFA-GM-15-002,,7-Oct-14,,8-Oct-14,0,0,1
129,CSSI Specific Opportunities,Non-Grant Research Support,Other,Computational Omics -  Request for Proposals,,http://proteomics.cancer.gov/newsevents/newsannouncements/archive/2014/computecures,8-Oct-14,,9-Oct-14,0,0,1
130,Non-NIH Opportunities ,Non-Grant Research Support,Other,Compute the Cure - Computational Solutions in Cancer Omics Data,,http://www.nvidia.com/object/compute-the-cure.html,8-Oct-14,,9-Oct-14,0,0,1
131,Selected NIH Opportunities ,Research Projects,R01,NIH Transformative Research Awards (R01),RFA-RM-14-003,,10-Oct-14,,11-Oct-14,0,0,1
132,Selected NIH Opportunities ,Research Program Projects & Centers,P50,NIGMS National Centers for Systems Biology (P50),PAR-13-351,,"October 23, 2013; October 23, 2014",,24-Oct-14,0,0,1
